"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"c:\codefield\satellite\server\api.config.js", "JavaScript", 4, 0, 0, 0, 4
"c:\codefield\satellite\server\app.js", "JavaScript", 20, 0, 6, 8, 34
"c:\codefield\satellite\server\config\api.config.js", "JavaScript", 4, 0, 0, 0, 4
"c:\codefield\satellite\server\config\db.config.js", "JavaScript", 6, 0, 0, 0, 6
"c:\codefield\satellite\server\controller\assignment_controller.js", "JavaScript", 141, 0, 8, 11, 160
"c:\codefield\satellite\server\controller\collection_controller.js", "JavaScript", 97, 0, 5, 8, 110
"c:\codefield\satellite\server\controller\satellite_controller.js", "JavaScript", 101, 0, 9, 7, 117
"c:\codefield\satellite\server\create_db.js", "JavaScript", 66, 0, 7, 8, 81
"c:\codefield\satellite\server\db.config.js", "JavaScript", 6, 0, 0, 0, 6
"c:\codefield\satellite\server\db\db.js", "JavaScript", 9, 0, 0, 4, 13
"c:\codefield\satellite\server\models\assignment_model.js", "JavaScript", 133, 0, 1, 11, 145
"c:\codefield\satellite\server\models\collection_model.js", "JavaScript", 88, 0, 1, 8, 97
"c:\codefield\satellite\server\models\satellite_model.js", "JavaScript", 91, 0, 1, 8, 100
"c:\codefield\satellite\server\package-lock.json", "JSON", 0, 1308, 0, 1, 1309
"c:\codefield\satellite\server\package.json", "JSON", 0, 20, 0, 1, 21
"c:\codefield\satellite\server\router-test.js", "JavaScript", 43, 0, 0, 5, 48
"c:\codefield\satellite\server\router.js", "JavaScript", 105, 0, 8, 9, 122
"c:\codefield\satellite\server\router\assignment_router.js", "JavaScript", 13, 0, 9, 12, 34
"c:\codefield\satellite\server\router\collection_router.js", "JavaScript", 10, 0, 7, 9, 26
"c:\codefield\satellite\server\router\satellite_router.js", "JavaScript", 10, 0, 6, 8, 24
"c:\codefield\satellite\server\tles2czml.js", "JavaScript", 158, 0, 29, 10, 197
"c:\codefield\satellite\server\update_tle.js", "JavaScript", 19, 0, 23, 8, 50
"Total", "-", 1124, 1328, 120, 136, 2708
